Date,X00.00,X00.05,X00.10,X00.15,X00.20,X00.25,X00.30,X00.35,X00.40,X00.45,X00.50,X00.55,X01.00,X01.05,X01.10,X01.15,X01.20,X01.25,X01.30,X01.35,X01.40,X01.45,X01.50,X01.55,X02.00,X02.05,X02.10,X02.15,X02.20,X02.25,X02.30,X02.35,X02.40,X02.45,X02.50,X02.55,X03.00,X03.05,X03.10,X03.15,X03.20,X03.25,X03.30,X03.35,X03.40,X03.45,X03.50,X03.55,X04.00,X04.05,X04.10,X04.15,X04.20,X04.25,X04.30,X04.35,X04.40,X04.45,X04.50,X04.55,X05.00,X05.05,X05.10,X05.15,X05.20,X05.25,X05.30,X05.35,X05.40,X05.45,X05.50,X05.55,X06.00,X06.05,X06.10,X06.15,X06.20,X06.25,X06.30,X06.35,X06.40,X06.45,X06.50,X06.55,X07.00,X07.05,X07.10,X07.15,X07.20,X07.25,X07.30,X07.35,X07.40,X07.45,X07.50,X07.55,X08.00,X08.05,X08.10,X08.15,X08.20,X08.25,X08.30,X08.35,X08.40,X08.45,X08.50,X08.55,X09.00,X09.05,X09.10,X09.15,X09.20,X09.25,X09.30,X09.35,X09.40,X09.45,X09.50,X09.55,X10.00,X10.05,X10.10,X10.15,X10.20,X10.25,X10.30,X10.35,X10.40,X10.45,X10.50,X10.55,X11.00,X11.05,X11.10,X11.15,X11.20,X11.25,X11.30,X11.35,X11.40,X11.45,X11.50,X11.55,X12.00,X12.05,X12.10,X12.15,X12.20,X12.25,X12.30,X12.35,X12.40,X12.45,X12.50,X12.55,X13.00,X13.05,X13.10,X13.15,X13.20,X13.25,X13.30,X13.35,X13.40,X13.45,X13.50,X13.55,X14.00,X14.05,X14.10,X14.15,X14.20,X14.25,X14.30,X14.35,X14.40,X14.45,X14.50,X14.55,X15.00,X15.05,X15.10,X15.15,X15.20,X15.25,X15.30,X15.35,X15.40,X15.45,X15.50,X15.55,X16.00,X16.05,X16.10,X16.15,X16.20,X16.25,X16.30,X16.35,X16.40,X16.45,X16.50,X16.55,X17.00,X17.05,X17.10,X17.15,X17.20,X17.25,X17.30,X17.35,X17.40,X17.45,X17.50,X17.55,X18.00,X18.05,X18.10,X18.15,X18.20,X18.25,X18.30,X18.35,X18.40,X18.45,X18.50,X18.55,X19.00,X19.05,X19.10,X19.15,X19.20,X19.25,X19.30,X19.35,X19.40,X19.45,X19.50,X19.55,X20.00,X20.05,X20.10,X20.15,X20.20,X20.25,X20.30,X20.35,X20.40,X20.45,X20.50,X20.55,X21.00,X21.05,X21.10,X21.15,X21.20,X21.25,X21.30,X21.35,X21.40,X21.45,X21.50,X21.55,X22.00,X22.05,X22.10,X22.15,X22.20,X22.25,X22.30,X22.35,X22.40,X22.45,X22.50,X22.55,X23.00,X23.05,X23.10,X23.15,X23.20,X23.25,X23.30,X23.35,X23.40,X23.45,X23.50,X23.55
03.01.2019,5534,5446,5448,5419,5426,5400,5380,5350,5365,5327,5313,5290,5296,5289,5340,5333,5309,5310,5296,5255,5227,5181,5163,5164,5207,5246,5283,5301,5283,5260,5228,5192,5215,5193,5158,5113,5059,4997,4978,4977,4957,4984,4994,4981,5020,5045,5068,5088,5139,5167,4967,4908,4984,5022,5068,5045,5041,5065,5083,5095,5104,5114,5181,5173,5233,5280,5332,5372,5610,5661,5736,5789,5875,5909,6077,6149,6246,6309,6346,6423,6458,6461,6499,6516,6520,6544,6680,6695,6758,6706,6661,6617,6467,6338,6224,6185,6054,5892,5864,5799,5701,5446,5490,5450,5229,5173,5136,5006,4815,4797,4708,4591,4465,4326,4180,4097,4035,4028,4006,3955,3989,4061,4006,3925,3904,3898,3869,3923,3965,3850,3904,3857,3754,3772,3845,3885,3806,3744,3732,3899,4200,4162,4147,4188,4148,4235,4141,4172,4192,4207,4203,4214,4243,4243,4334,4344,4355,4507,4548,4560,4532,4592,4721,4658,4641,4728,4859,4853,4835,4847,4864,4630,4631,4729,4728,4632,4492,4527,4521,4617,4518,4539,4428,4355,4453,4411,4408,4425,4431,4506,4581,4730,4847,4989,5070,5076,5155,5334,5443,5582,5732,5838,5954,6123,6274,6388,6572,6618,6724,6862,6956,7044,7177,7270,7382,7506,7612,7649,7686,7771,7891,7965,8028,8006,8018,8026,8066,8114,8108,8096,8180,8178,8153,8123,8105,8088,8058,8037,8027,8006,7964,7912,7905,7872,7849,7801,7771,7766,7747,7724,7675,7588,7507,7495,7440,7422,7424,7413,7406,7388,7323,7276,7261,7241,7228,7199,7226,7161,7111,7056,7004,6959,6900,6841,6782,6738,6678,6582,6552,6500,6417,6343,6292,6240,6186,6110,6046,6003
03.02.2019,5969,5950,5888,5854,5816,5774,5724,5684,5843,5913,5916,5881,5839,5769,5729,5709,5729,5718,5694,5694,5694,5661,5570,5423,5259,5169,5258,5388,5473,5521,5508,5464,5423,5376,5300,5255,5281,5314,5340,5347,5323,5331,5363,5413,5410,5355,5294,5280,5272,5265,5220,5174,5160,5187,5177,5185,5210,5247,5264,5286,5313,5317,5335,5338,5349,5358,5407,5411,5432,5416,5404,5497,5518,5515,5587,5660,5680,5678,5675,5671,5681,5673,5660,5628,5609,5619,5640,5660,5624,5623,5583,5551,5508,5433,5400,5348,5314,5275,5405,5496,5460,5423,5413,5245,5046,5017,5029,5039,5015,5028,4996,4960,4974,4803,4696,4647,4590,4567,4528,4607,4527,4381,4315,4303,4354,4339,4302,4164,4098,3954,3893,3847,3759,3855,3843,3828,3869,3818,3853,3889,3856,3858,3826,3746,3707,3693,3768,3801,3881,3902,3993,4068,4031,4058,4047,4111,4170,4025,3968,4027,3949,3898,3968,3873,3797,3683,3621,3618,3514,3445,3479,3615,3628,3528,3538,3550,3397,3363,3325,3432,3391,3341,3280,3277,3539,3447,3498,3536,3499,3514,3525,3670,3751,3803,3642,3742,3906,4119,4305,4431,4604,4778,4948,5194,5436,5542,5667,5781,5956,6210,6480,6599,6778,6861,6933,7117,7278,7394,7413,7447,7515,7574,7617,7587,7536,7506,7477,7451,7428,7370,7405,7409,7359,7339,7335,7303,7230,7074,7053,7029,7027,7017,7017,6937,6964,6961,6938,6911,6871,6846,6810,6809,6772,6764,6662,6537,6522,6505,6464,6426,6389,6346,6342,6323,6301,6241,6241,6189,6179,6169,6139,6104,6063,6034,6025,5975,5928,5867,5896,5878,5798,5754,5711,5700,5681,5694,5868,5810
03.03.2019,5778,5705,5638,5551,5645,5752,5692,5666,5615,5614,5628,5630,5598,5573,5545,5491,5453,5435,5394,5382,5360,5339,5317,5294,5267,5253,5242,5257,5251,5263,5256,5236,5229,5203,5196,5189,5186,5180,5191,5189,5170,5157,5148,5125,5124,5115,5101,5086,5106,5088,5080,5090,5087,5071,5038,5029,5049,5038,5042,5045,5028,5015,4966,4934,4914,4931,4969,4984,4992,4989,5021,5039,5044,5072,5171,5221,5235,5237,5195,5160,5083,5004,4898,4803,4706,4651,4565,4504,4412,4302,4141,4024,3863,3838,3771,3649,3558,3448,3256,3115,2994,3038,3098,3105,3145,3118,3122,3119,3070,2993,3027,3022,2998,2909,2928,2901,2858,2818,2816,2835,2788,2742,2705,2608,2624,2676,2650,2683,2614,2612,2673,2578,2487,2540,2472,2441,2426,2403,2333,2441,2487,2448,2399,2425,2401,2390,2134,1999,2060,2040,2019,2039,1997,1975,2002,2005,1966,2012,2225,2277,2263,2254,2219,2201,2338,2501,2459,2398,2355,2365,2434,2390,2441,2347,2388,2509,2433,2503,2445,2519,2684,2761,2611,2459,2514,2555,2647,2661,2667,2707,2769,2829,2930,3074,3146,3269,3350,3651,3742,3845,4063,4234,4526,4471,4659,4878,5092,5252,5367,5504,5626,5769,5894,6004,6157,6325,6452,6556,6598,6556,6627,6667,6738,6779,6793,6803,6794,6835,6858,6859,6956,6966,6958,6921,6918,6913,6907,6876,6864,6858,6830,6796,6740,6675,6629,6580,6504,6481,6457,6420,6392,6358,6331,6285,6298,6265,6257,6216,6173,6138,6099,6118,6081,6059,6015,5959,5871,5730,5666,5626,5580,5529,5430,5345,5270,5216,5140,5087,5084,5075,5061,5020,4993,4974,4941,5045,5110,5099
03.04.2019,5074,5072,5083,5057,5030,5063,5080,5066,5013,4944,4887,4872,4881,4901,4942,4907,4916,4885,4832,4798,4798,4811,4814,4841,4878,4896,4872,4847,4838,4806,4770,4767,4725,4724,4742,4730,4707,4711,4734,4727,4706,4695,4671,4697,4714,4715,4721,4761,4810,4815,4782,4781,4836,4837,4872,4940,4992,5059,5092,4934,4992,5095,5180,5144,5178,5237,5288,5343,5425,5462,5520,5620,5711,5827,6032,6151,6216,6252,6275,6288,6306,6302,6279,6289,6208,6165,6072,5958,5904,5813,5652,5555,5390,5185,5030,4905,4794,4781,4837,4770,4638,4478,4313,4144,4066,4038,4076,4021,3995,3865,3787,3715,3587,3584,3575,3527,3506,3469,3449,3419,3403,3479,3782,3789,3782,3834,3738,3740,3721,3785,3798,3821,3891,3928,4154,4212,4260,4199,4162,4176,4109,4095,4107,4094,4092,4017,4013,4002,4012,4066,4035,4041,3967,4079,4044,4038,4021,4065,4143,4104,4166,4254,4233,4214,4255,4236,4230,4258,4273,4269,4102,4112,4202,4221,4229,4237,4264,4419,4509,4470,4614,4785,4466,4500,4520,4592,4660,4678,4800,4868,4979,5091,5187,5220,5155,5234,5308,5451,5646,5840,5975,6000,6224,6388,6538,6711,6921,6978,7111,7238,7367,7498,7703,7798,7892,8074,8249,8376,8442,8527,8610,8701,8816,8828,8815,8818,8817,8873,8863,8817,8754,8730,8728,8709,8675,8678,8656,8642,8638,8625,8585,8592,8517,8451,8435,8411,8366,8342,8288,8275,8318,8363,8365,8330,8181,8093,8078,8038,7995,7989,7961,7915,7856,7818,7757,7692,7551,7424,7372,7313,7229,7166,7110,7051,6999,6937,6899,6828,6848,6821,6786,6798,6733,6716,6671,6620,6555,6483
03.05.2019,6418,6447,6622,6607,6588,6541,6522,6502,6461,6417,6364,6333,6308,6274,6237,6202,6179,6156,6144,6132,6119,6093,6078,6081,6083,6072,6088,6066,6042,6058,6061,6042,6015,5996,5986,5994,6002,6004,6017,5984,5986,5999,6007,5994,5996,5980,5987,6010,6029,6038,6035,6080,6122,6162,6192,6200,6261,6257,6294,6121,6080,6120,6192,6261,6327,6419,6473,6515,6688,6746,6842,6957,7020,7096,7379,7462,7473,7506,7508,7516,7520,7488,7447,7462,7415,7366,7360,7369,7320,7273,7195,7086,7000,6880,6845,6703,6577,6506,6447,6342,6293,6235,6217,6074,5936,5738,5605,5615,5540,5405,5421,5451,5408,5310,5245,5185,5312,5275,5407,5441,5384,5331,5340,5099,5018,4928,4832,4843,4877,5047,5051,5010,5103,5129,5313,5381,5332,5365,5282,5326,5365,5275,5307,5283,5263,5266,5261,5238,5196,5189,5176,5105,5125,5180,5134,5166,5250,5193,5151,5036,5056,5162,5183,5217,5267,5324,5289,5272,5379,5497,5512,5452,5422,5193,5062,5065,5082,5079,5082,5142,5139,5096,4996,4993,5021,5125,5150,5177,5264,5367,5435,5541,5608,5668,5866,5988,6050,6147,6384,6444,6457,6604,6761,6881,6966,7039,7121,7222,7360,7480,7629,7679,7768,7810,7879,8080,8242,8304,8378,8418,8499,8583,8570,8506,8422,8438,8410,8389,8365,8371,8339,8350,8332,8212,8131,8130,8143,8162,8202,8206,8207,8209,8185,8112,8126,8091,8063,8050,7991,7972,7936,7849,7823,7787,7790,7790,7693,7688,7643,7613,7593,7499,7408,7374,7331,7308,7298,7244,7208,7123,7122,7106,7044,6975,6910,6868,6816,6769,6924,6957,6869,6786,6734,6663,6614,6592,6532,6498
03.06.2019,6453,6390,6330,6257,6217,6141,6107,6064,5986,5943,5953,5922,5904,5841,5789,5778,5709,5709,5700,5647,5610,5589,5571,5563,5571,5560,5567,5575,5568,5569,5599,5585,5599,5608,5603,5590,5562,5493,5410,5297,5267,5351,5261,5252,5269,5253,5243,5134,5197,5274,5365,5377,5389,5398,5349,5376,5431,5487,5564,5626,5680,5749,5598,5553,5591,5619,5686,5735,5836,5885,5948,6003,6037,6072,6280,6423,6511,6598,6629,6630,6612,6609,6617,6624,6608,6620,6716,6781,6800,6804,6729,6604,6623,6567,6346,6302,6172,6119,6124,6051,6009,5995,5862,5789,5880,5823,5684,5754,5753,5756,5702,5638,5626,5557,5539,5450,5315,5272,5319,5278,5269,5276,5174,5128,5158,5071,5119,5074,5014,5031,4953,4967,4967,4920,5006,5038,5019,4984,5038,4935,4946,4898,4916,4977,4949,4990,5003,4922,4746,4752,4808,4692,4596,4569,4539,4537,4442,4464,4460,4489,4488,4503,4550,4605,4592,4525,4436,4459,4328,4282,4292,4273,4271,4251,4343,4379,4525,4487,4590,4640,4695,4714,4637,4727,4773,4830,4986,5043,5019,5188,5168,5243,5237,5420,5374,5466,5562,5723,5895,5960,6144,6287,6392,6566,6779,6914,7011,7071,7205,7371,7468,7510,7615,7717,7839,7970,8099,8171,8244,8320,8395,8410,8430,8462,8494,8492,8435,8379,8412,8446,8400,8427,8463,8443,8422,8373,8296,8255,8219,8181,8160,8115,8123,8106,8132,8001,7920,7934,7860,7831,7804,7792,7739,7709,7569,7440,7442,7385,7390,7333,7310,7220,7105,7097,7055,6971,6801,6727,6649,6599,6529,6452,6435,6375,6334,6343,6316,6312,6478,6448,6397,6378,6304,6235,6176,6118,6048,6016
03.07.2019,5999,5947,5982,5950,5894,5842,5799,5784,5760,5710,5682,5673,5657,5642,5645,5624,5610,5556,5499,5439,5411,5409,5376,5365,5353,5339,5358,5367,5344,5286,5250,5223,5188,5192,5164,5168,5124,5165,5190,5193,5172,5179,5195,5220,5244,5252,5273,5274,5302,5303,5303,5278,5290,5281,5279,5334,5409,5432,5488,5525,5604,5679,5599,5637,5690,5738,5793,5859,5957,6017,6022,6087,6180,6226,6385,6459,6541,6540,6583,6593,6614,6589,6543,6498,6407,6291,6266,6170,5983,5822,5643,5528,5425,5238,5038,4896,4641,4488,4307,4189,4081,4064,4061,4025,3967,3868,3811,3744,3675,3567,3570,3460,3449,3409,3351,3378,3318,3335,3288,3304,3259,3351,3278,3263,3269,3244,3265,3269,3286,3217,3264,3218,3184,3128,3099,3071,3053,3066,3051,3099,3070,3068,2989,3075,3105,3145,3206,3167,3129,3160,3126,3172,3224,3243,3274,3282,3357,3368,3294,3350,3415,3370,3448,3602,3602,3594,3564,3640,3743,3794,3804,3880,3845,3852,3823,3846,3872,3900,4031,4077,4077,4158,4177,4197,4214,4318,4402,4451,4451,4556,4642,4841,4993,5014,5045,5093,5169,5189,5216,5328,5512,5649,5775,5898,6105,6223,6455,6531,6681,6816,6957,7076,7218,7353,7491,7676,7838,7941,8133,8270,8356,8437,8471,8467,8498,8483,8504,8609,8644,8611,8578,8564,8542,8512,8489,8475,8468,8436,8409,8340,8261,8228,8108,7864,7841,7826,7801,7761,7700,7686,7647,7569,7518,7515,7524,7461,7458,7411,7356,7316,7273,7228,7175,7081,6984,6914,6906,6817,6821,6808,6740,6640,6558,6489,6395,6301,6252,6172,6105,5993,5915,5877,5852,5811,5751,5720,5679,5685
03.08.2019,5666,5611,5606,5535,5485,5419,5392,5367,5313,5276,5222,5156,5095,5035,4980,4929,4895,4864,4799,4750,4721,4687,4686,4686,4646,4643,4638,4637,4614,4599,4576,4582,4587,4585,4597,4631,4660,4665,4692,4744,4742,4749,4762,4755,4767,4755,4762,4748,4723,4736,4778,4758,4760,4751,4754,4735,4739,4735,4743,4711,4720,4787,4860,4889,4915,4961,5018,5060,5136,5237,5301,5381,5480,5541,5642,5686,5762,5779,5805,5798,5805,5763,5740,5680,5579,5438,5359,5285,5111,4905,4659,4446,4241,4030,3933,3811,3695,3615,3559,3329,3016,2813,2766,2806,2753,2600,2544,2596,2548,2380,2282,2171,1994,1990,2047,2066,2048,2076,2107,2107,2102,2163,2069,2116,2155,2043,2019,2017,1920,1766,1792,1789,1813,1824,1873,1982,1975,1835,1749,1815,1717,1719,1723,1560,1605,1550,1500,1452,1395,1369,1416,1336,1316,1352,1178,1193,1233,1323,1443,1448,1366,1378,1377,1392,1463,1497,1541,1636,1699,1524,1446,1441,1567,1636,1581,1578,1541,1494,1541,1558,1585,1755,1803,1813,1736,1777,1786,1922,2026,2089,2235,2355,2460,2554,2749,2926,3173,3146,3262,3433,3648,3909,4165,4499,4767,5054,5324,5612,5836,6002,6197,6361,6478,6600,6683,6741,6793,6898,7047,7128,7286,7427,7479,7480,7523,7610,7646,7671,7658,7683,7681,7645,7631,7661,7693,7689,7672,7643,7608,7565,7536,7499,7478,7382,7383,7495,7521,7531,7488,7446,7441,7361,7281,7214,7093,7014,7000,6985,6929,6863,6779,6700,6586,6521,6403,6315,6282,6182,6101,6070,6076,6030,5959,5925,5917,5843,5786,5728,5899,5829,5819,5784,5767,5750,5720,5691,5625,5512
03.09.2019,5447,5389,5380,5408,5403,5370,5273,5196,5169,5126,5090,5017,4968,4918,4867,4864,4883,4888,4871,4870,4894,4914,4931,4923,4913,4906,4900,4849,4789,4821,4823,4834,4829,4828,4818,4865,4873,4956,5036,5023,5015,4979,4973,4967,5010,5014,4992,5013,5017,5029,5029,5036,5040,5070,5062,5074,5081,5078,5090,5117,5154,5154,5184,5214,5201,5199,5202,5194,5236,5283,5318,5369,5429,5418,5462,5465,5478,5484,5460,5365,5258,5129,5044,4968,4814,4715,4614,4486,4278,4008,3830,3666,3510,3346,3295,3290,3226,3161,2888,2680,2502,2384,2336,2316,2385,2279,2208,2231,2164,2097,2232,2087,2045,2077,2110,2089,2079,2038,2032,2079,2092,2146,2300,2274,2357,2401,2460,2419,2403,2415,2361,2449,2420,2426,2456,2460,2484,2479,2450,2430,2409,2383,2377,2348,2305,2243,2269,2120,2103,2112,2078,2122,2067,2055,2043,2062,2070,2136,2215,2264,2249,2339,2321,2363,2299,2358,2471,2476,2610,2691,2761,2861,2908,2937,3030,3025,3090,3159,3291,3381,3475,3556,3496,3548,3616,3561,3631,3772,3800,3822,3977,4136,4282,4384,4267,4199,4297,4491,4610,4746,4937,5064,5229,5406,5540,5667,5857,5962,6053,6179,6279,6389,6535,6663,6728,6839,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,7285,7347,7395,7394,7410,7421,7416,7433,7449,7446,7412,7380,7212,7271,7235,7199,7198,7176,7156,7130,7128,7127,7119,7113,7086,7044,6978,6946,6929,6906,6865,6813,6778,6767,6754,6713,6661,6544,6473,6416,6401,6370,6354,6321,6257,6200,6147,6112,6052,6018,5997,5973,5981,5964,5948,5916,5854,5837,5800
03.10.2019,5758,5717,5916,5844,5853,5855,5827,5813,5808,5782,5712,5646,5588,5496,5517,5469,5424,5337,5252,5208,5184,5174,5170,5160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5155,5156,5117,5067,5088,5071,5055,5060,5046,5056,5042,5079,5090,5088,4881,4803,4830,4819,4808,4826,4837,4843,4845,4824,4820,4810,4752,4749,4799,4829,4837,4841,4847,4863,4889,4916,4923,4982,5008,5038,5001,4998,5031,5067,5117,5169,5193,5213,5253,5264,5289,5285,5313,5283,5216,5185,5128,5062,5023,4926,4866,4825,4790,4772,4735,4655,4513,4464,4349,4162,3990,3832,3744,3616,3612,3674,3643,3676,3625,3583,3510,3365,3235,3167,3058,3073,2973,3026,2967,2915,2806,2707,2657,2601,2763,2580,2426,2373,2359,2326,2250,2269,2163,2158,2078,2079,2186,2253,2193,2111,2069,2015,1956,1899,1970,1951,1984,2070,2081,2110,2104,2079,2144,2184,2154,2208,2177,2152,2232,2248,2182,2264,2274,2242,2316,2374,2362,2407,2404,2391,2426,2439,2535,2542,2629,2660,2759,2708,2721,2762,2869,2944,3166,3186,3289,3343,3355,3489,3391,3310,3408,3467,3580,3728,3860,3974,4111,4242,4353,4474,4583,4669,4755,4864,4935,5026,5232,5334,5447,5719,5880,6026,6195,6309,6396,6515,6595,6639,6733,6809,6867,7036,7159,7243,7372,7440,7585,7738,7888,7890,7903,7897,7888,7884,7904,7901,7868,7859,7858,7825,7797,7782,7747,7763,7767,7704,7634,7607,7561,7552,7531,7457,7381,7322,7267,7214,7156,7091,7028,6981,6968,6934,6859,6810,6745,6703,6617,6562,6493,6427,6364,6299,6251,6210,6193,6157,6125,6095,6111,6197,6277,6246
