"Date","X00.00","X00.05","X00.10","X00.15","X00.20","X00.25","X00.30","X00.35","X00.40","X00.45","X00.50","X00.55","X01.00","X01.05","X01.10","X01.15","X01.20","X01.25","X01.30","X01.35","X01.40","X01.45","X01.50","X01.55","X02.00","X02.05","X02.10","X02.15","X02.20","X02.25","X02.30","X02.35","X02.40","X02.45","X02.50","X02.55","X03.00","X03.05","X03.10","X03.15","X03.20","X03.25","X03.30","X03.35","X03.40","X03.45","X03.50","X03.55","X04.00","X04.05","X04.10","X04.15","X04.20","X04.25","X04.30","X04.35","X04.40","X04.45","X04.50","X04.55","X05.00","X05.05","X05.10","X05.15","X05.20","X05.25","X05.30","X05.35","X05.40","X05.45","X05.50","X05.55","X06.00","X06.05","X06.10","X06.15","X06.20","X06.25","X06.30","X06.35","X06.40","X06.45","X06.50","X06.55","X07.00","X07.05","X07.10","X07.15","X07.20","X07.25","X07.30","X07.35","X07.40","X07.45","X07.50","X07.55","X08.00","X08.05","X08.10","X08.15","X08.20","X08.25","X08.30","X08.35","X08.40","X08.45","X08.50","X08.55","X09.00","X09.05","X09.10","X09.15","X09.20","X09.25","X09.30","X09.35","X09.40","X09.45","X09.50","X09.55","X10.00","X10.05","X10.10","X10.15","X10.20","X10.25","X10.30","X10.35","X10.40","X10.45","X10.50","X10.55","X11.00","X11.05","X11.10","X11.15","X11.20","X11.25","X11.30","X11.35","X11.40","X11.45","X11.50","X11.55","X12.00","X12.05","X12.10","X12.15","X12.20","X12.25","X12.30","X12.35","X12.40","X12.45","X12.50","X12.55","X13.00","X13.05","X13.10","X13.15","X13.20","X13.25","X13.30","X13.35","X13.40","X13.45","X13.50","X13.55","X14.00","X14.05","X14.10","X14.15","X14.20","X14.25","X14.30","X14.35","X14.40","X14.45","X14.50","X14.55","X15.00","X15.05","X15.10","X15.15","X15.20","X15.25","X15.30","X15.35","X15.40","X15.45","X15.50","X15.55","X16.00","X16.05","X16.10","X16.15","X16.20","X16.25","X16.30","X16.35","X16.40","X16.45","X16.50","X16.55","X17.00","X17.05","X17.10","X17.15","X17.20","X17.25","X17.30","X17.35","X17.40","X17.45","X17.50","X17.55","X18.00","X18.05","X18.10","X18.15","X18.20","X18.25","X18.30","X18.35","X18.40","X18.45","X18.50","X18.55","X19.00","X19.05","X19.10","X19.15","X19.20","X19.25","X19.30","X19.35","X19.40","X19.45","X19.50","X19.55","X20.00","X20.05","X20.10","X20.15","X20.20","X20.25","X20.30","X20.35","X20.40","X20.45","X20.50","X20.55","X21.00","X21.05","X21.10","X21.15","X21.20","X21.25","X21.30","X21.35","X21.40","X21.45","X21.50","X21.55","X22.00","X22.05","X22.10","X22.15","X22.20","X22.25","X22.30","X22.35","X22.40","X22.45","X22.50","X22.55","X23.00","X23.05","X23.10","X23.15","X23.20","X23.25","X23.30","X23.35","X23.40","X23.45","X23.50","X23.55"
"03.01.2020",6105,6074,5995,5853,5614,5497,5444,5377,5306,5301,5282,5278,5286,5306,5341,5354,5307,5244,5236,5211,5189,5169,5180,5155,5172,5180,5358,5382,5372,5353,5344,5345,5327,5310,5313,5297,5281,5231,5219,5203,5170,5150,5150,5124,5094,5042,5001,5001,5009,5052,5115,5190,5213,5197,5181,5192,5211,5237,5286,5295,5329,5411,5540,5572,5564,5554,5548,5547,5490,5522,5517,5566,5572,5634,5683,5686,5693,5699,5693,5686,5653,5614,5551,5257,5164,5125,5010,4861,4765,4676,4591,4506,4437,4323,4219,4149,4150,4052,3726,3470,3515,3533,3616,3721,3713,3685,3581,3589,3498,3356,3350,3370,3365,3402,3435,3344,3274,3221,3225,3166,3134,3056,3166,3180,2993,3004,3095,3147,3156,3219,3136,3046,3019,2963,2942,2978,3026,3052,3019,3011,2946,2939,2941,2947,2973,2997,2920,3006,2996,2992,2856,3034,3209,3108,3112,3155,3295,3233,3308,3371,3358,3303,3410,3404,3389,3470,3505,3569,3585,3567,3467,3463,3497,3506,3493,3526,3528,3583,3652,3672,3725,3796,3882,3977,4066,4189,4354,4339,4534,4688,4779,4819,4961,5033,5221,5315,5410,5730,5930,6079,6400,6434,6600,6771,6928,7146,7408,7605,7663,7742,7839,7922,7948,8062,8204,8332,8502,8595,8496,8400,8334,8388,8467,8465,8493,8458,8448,8428,8417,8442,8438,8469,8487,8452,8464,8427,8282,8132,8084,8107,8117,8074,8073,8073,8098,8038,8000,7975,7989,7997,7961,7938,7925,7946,7972,7981,7971,7906,7847,7815,7733,7703,7701,7718,7658,7590,7576,7510,7443,7387,7341,7323,7266,7114,7058,6993,6935,6837,6714,6677,6623,6518,6461,6412,6341,6287,6271,6229
"03.02.2020",6192,6206,6276,6269,6247,6214,6194,6197,6171,6174,6102,6103,6043,6044,6017,5933,5908,5866,5839,5837,5839,5845,5821,5791,5810,5833,5814,5794,5784,5755,5710,5719,5677,5670,5703,5719,5696,5668,5645,5648,5673,5695,5692,5723,5730,5756,5769,5781,5804,5857,5912,5946,5969,6042,6098,6109,6151,6181,6217,6245,6272,6333,6368,6445,6577,6818,7010,7040,7063,7101,7139,7144,7223,7314,7449,7535,7590,7675,7705,7615,7627,7614,7575,7511,7443,7423,7509,7484,7393,7248,7076,6931,6784,6621,6462,6284,6030,5980,6124,5841,5677,5639,5574,5444,5315,5205,5081,5012,4850,4713,4511,4386,4398,4410,4338,4233,4288,4403,4475,4585,4701,4638,4516,4395,4223,4248,4205,4172,4164,4087,3998,3937,3928,3920,3809,3769,3766,3770,3725,3656,3638,3631,3609,3660,3586,3494,3407,3388,3388,3380,3428,3419,3354,3288,3351,3360,3347,3343,3422,3398,3406,3434,3415,3407,3312,3255,3423,3429,3394,3401,3349,3310,3202,3205,3323,3272,3210,3391,3602,3491,3438,3344,3448,3462,3605,3827,3783,3785,3727,3722,3816,3671,3850,4101,4259,4436,4625,4858,5080,5271,5639,5900,6221,6463,6709,6894,7081,7367,7564,7721,7801,7860,8003,8102,8207,8368,8534,8617,8664,8648,8674,8714,8752,8795,8804,8790,8752,8791,8803,8754,8824,8864,8880,8879,8853,8845,8806,8784,8744,8735,8719,8733,8747,8719,8671,8584,8538,8535,8532,8513,8478,8434,8385,8299,8297,8280,8225,8141,8060,8012,7929,7815,7724,7672,7640,7574,7557,7530,7462,7377,7367,7387,7398,7379,7345,7278,7163,7077,7018,6993,6978,6972,6912,6817,6784,6799,6793,6806
"03.03.2020",6756,6690,6662,6617,6608,6545,6514,6497,6481,6443,6436,6448,6487,6514,6526,6527,6538,6571,6592,6574,6563,6557,6543,6517,6497,6499,6495,6498,6487,6481,6471,6458,6447,6420,6414,6400,6387,6392,6398,6429,6454,6457,6407,6408,6431,6420,6408,6391,6398,6356,6403,6456,6493,6606,6690,6636,6669,6680,6714,6761,6789,6813,6903,7007,7074,7228,7379,7369,7419,7406,7423,7481,7585,7667,7843,7969,8010,8032,8029,7994,7984,7919,7834,7736,7618,7471,7360,7129,7010,6765,6505,6268,6075,5932,5725,5501,5345,5185,5165,4983,4886,4746,4599,4500,4574,4635,4550,4447,4393,4373,4405,4350,4263,4225,4177,4149,4108,4097,4071,4062,3985,3969,4041,3992,3919,3856,3834,3847,3797,3806,3818,3833,3797,3758,3624,3585,3589,3589,3585,3606,3597,3595,3615,3634,3601,3587,3600,3581,3614,3625,3637,3669,3661,3616,3525,3548,3544,3563,3546,3562,3574,3603,3610,3621,3623,3645,3641,3677,3715,3731,3752,3846,3862,3905,3943,3976,4022,4100,4191,4200,4266,4302,4315,4397,4476,4313,4298,4378,4457,4536,4700,4845,5015,5158,5263,5429,5626,5888,6080,6290,6701,6941,7047,7282,7471,7663,7697,7866,8105,8334,8489,8560,8657,8751,8881,8988,9117,9196,9263,9332,9395,9407,9361,9407,9451,9435,9422,9431,9411,9373,9323,9269,9234,9180,9124,9069,9035,9016,8995,9005,8964,8957,8879,8838,8796,8743,8759,8730,8697,8655,8622,8572,8541,8543,8591,8493,8430,8393,8353,8411,8427,8448,8418,8370,8302,8238,8257,8198,8132,8058,7989,7962,7800,7535,7453,7513,7497,7478,7489,7461,7429,7390,7361,7326,7268,7236,7191,7118
"03.04.2020",7059,7025,7076,7107,7119,7094,7048,7033,6993,6947,6933,6893,6889,6902,6851,6816,6776,6755,6739,6748,6736,6708,6692,6704,6679,6693,6742,6716,6671,6607,6606,6612,6596,6598,6601,6608,6620,6609,6607,6573,6564,6554,6535,6528,6526,6551,6551,6535,6518,6517,6547,6599,6609,6804,6854,6785,6823,6847,6859,6862,6909,6925,6954,7073,7142,7219,7267,7216,7241,7292,7340,7383,7478,7589,7733,7880,7946,7960,7960,7921,7857,7778,7696,7591,7493,7331,7215,6932,6764,6607,6428,6252,6023,5946,5703,5534,5392,5215,5174,5035,5024,4899,4707,4603,4546,4471,4407,4290,4174,4063,3953,3927,3881,3846,3807,3785,3716,3639,3697,3840,3863,3863,3817,3782,3751,3674,3643,3549,3496,3525,3579,3518,3502,3455,3438,3358,3397,3454,3502,3482,3448,3387,3325,3373,3313,3315,3389,3428,3434,3416,3408,3422,3453,3498,3528,3528,3550,3564,3584,3612,3673,3642,3621,3636,3704,3744,3777,3850,3850,3941,3993,4050,4135,3924,3893,3897,3967,3995,4011,4063,4101,4171,4317,4398,4507,4536,4596,4629,4769,4916,5066,5169,5299,5414,5493,5539,5726,6022,6275,6400,6788,7049,7432,7548,7710,7843,7926,7975,8152,8380,8630,8729,8792,8856,8935,8986,9122,9213,9257,9298,9390,9426,9410,9424,9464,9452,9404,9397,9368,9341,9325,9354,9315,9317,9302,9279,9204,9174,9160,9115,9064,9062,9092,9046,8979,8960,8913,8887,8833,8801,8771,8722,8716,8696,8757,8767,8724,8674,8625,8558,8474,8410,8383,8271,8156,8125,8112,8043,7981,7891,7812,7737,7627,7572,7520,7436,7384,7350,7382,7359,7297,7255,7199,7155,7118,7077,7022,6949
"03.05.2020",6877,6836,6842,6825,6829,6821,6800,6764,6709,6710,6668,6652,6632,6598,6579,6509,6435,6429,6428,6411,6384,6352,6316,6313,6312,6339,6377,6378,6365,6375,6337,6309,6243,6232,6253,6258,6260,6263,6266,6243,6217,6200,6199,6249,6449,6438,6420,6391,6365,6387,6462,6510,6543,6667,6741,6729,6820,6810,6833,6886,6919,6959,7057,7125,7208,7303,7339,7391,7531,7540,7561,7605,7673,7740,7681,7701,7776,7799,7807,7778,7739,7650,7592,7496,7311,7188,7195,7090,6872,6692,6586,6448,6284,6128,5936,5815,5791,5633,5665,5507,5257,5020,5024,4980,4754,4633,4581,4607,4578,4475,4287,4165,4090,4014,4021,4061,3949,3949,3878,3812,3766,3746,3779,3660,3655,3620,3602,3602,3591,3618,3597,3582,3561,3550,3537,3482,3537,3597,3633,3643,3645,3649,3597,3576,3595,3612,3628,3597,3659,3665,3626,3636,3637,3729,3762,3758,3736,3757,3790,3738,3763,3802,3839,3894,3883,3955,3987,4051,4141,4247,4263,4325,4426,4479,4522,4602,4647,4711,4871,4979,5055,5183,5312,5406,5474,5339,5317,5461,5635,5751,5847,5985,6111,6147,6320,6574,6792,6925,7030,7191,7367,7522,7698,7826,8008,8080,8120,8209,8305,8421,8484,8571,8708,8759,8850,8936,9044,9102,9122,9179,9256,9300,9344,9323,9324,9301,9273,9273,9217,9179,9141,9097,9072,9050,9016,8984,8945,8954,8923,8890,8846,8811,8765,8728,8682,8655,8616,8550,8521,8479,8467,8437,8420,8393,8469,8469,8402,8378,8314,8274,8207,8105,8075,7951,7791,7764,7729,7641,7603,7634,7583,7468,7396,7359,7300,7222,7177,7147,7154,7104,7004,6951,6926,6859,6839,6801,6759,6754
"03.06.2020",6724,6717,6734,6692,6648,6563,6533,6506,6504,6501,6458,6608,6698,6672,6676,6671,6623,6549,6532,6526,6502,6507,6495,6475,6458,6456,6450,6425,6410,6383,6378,6376,6379,6383,6364,6354,6352,6352,6365,6359,6344,6332,6353,6365,6366,6364,6363,6370,6377,6412,6533,6667,6682,6791,6848,6818,6829,6859,6896,6908,6926,6960,7039,7103,7141,7265,7319,7380,7509,7539,7565,7627,7695,7783,7956,8004,8020,8080,8079,8063,8067,7962,7853,7789,7659,7576,7410,7136,7031,6814,6534,6371,6120,5867,5629,5498,5438,5412,5259,5154,5094,4893,4812,4820,4922,4865,4789,4726,4591,4477,4443,4374,4331,4320,4290,4329,4307,4245,4223,4075,3942,3879,3837,3794,3745,3666,3646,3610,3612,3598,3606,3538,3480,3530,3533,3526,3509,3469,3466,3414,3469,3465,3490,3520,3494,3496,3576,3484,3454,3524,3449,3404,3411,3386,3378,3349,3334,3370,3406,3415,3459,3494,3472,3492,3472,3469,3575,3532,3552,3481,3467,3493,3467,3539,3674,3699,3721,3772,3862,3829,3782,3794,3869,3895,3943,3792,3783,3900,4022,4188,4304,4437,4475,4538,4605,4685,4825,5037,5349,5478,5747,6009,6263,6472,6644,6823,6944,7110,7302,7461,7589,7667,7844,7963,7990,8065,8101,8167,8264,8379,8448,8453,8483,8479,8469,8455,8435,8445,8407,8403,8374,8381,8387,8318,8291,8285,8250,8206,8191,8191,8146,8128,8158,8164,8153,8112,8068,8027,8011,7948,7915,7902,7884,7886,7935,7977,7960,7957,7916,7880,7839,7743,7681,7605,7556,7512,7478,7451,7418,7395,7341,7302,7239,7183,7107,7068,7009,6976,6971,6909,6873,6807,6757,6701,6637,6609,6562,6539
"03.07.2020",6508,6473,6522,6470,6451,6422,6439,6438,6410,6358,6345,6354,6346,6327,6303,6265,6234,6218,6197,6175,6161,6144,6114,6100,6059,6026,6032,6008,5979,5998,6022,6014,6000,6017,6017,6009,6006,5988,5977,5961,5955,5948,5946,5975,6138,6174,6189,6186,6182,6183,6206,6252,6226,6246,6270,6321,6367,6365,6364,6367,6351,6367,6389,6407,6437,6426,6419,6420,6515,6523,6512,6513,6524,6574,6673,6722,6704,6701,6673,6612,6539,6371,6308,6263,6217,6122,6045,5994,5869,5749,5672,5604,5525,5423,5416,5370,5373,5364,5367,5307,5231,5210,5211,5190,5160,5145,5096,4897,4806,4722,4727,4650,4611,4552,4532,4472,4354,4300,4246,4175,4105,4046,3921,3786,3781,3720,3627,3561,3636,3695,3574,3490,3411,3331,3240,3222,3271,3305,3247,3173,3070,3050,3170,3236,3098,3021,2987,2977,3049,3050,3029,3193,3097,3027,3041,2946,2948,2892,2961,2870,2831,2837,2920,2924,2924,2979,3037,3109,3036,3175,3245,3309,3276,3356,3435,3485,3512,3527,3537,3493,3552,3611,3652,3708,3801,3728,3612,3649,3667,3792,3942,3998,4033,4157,4257,4322,4425,4685,4820,4990,5223,5366,5622,5862,6027,6218,6380,6454,6619,6904,7116,7195,7317,7376,7522,7618,7676,7676,7676,7676,7676,7676,7676,7676,7676,7676,7676,7676,7676,7782,7819,7836,7860,7863,7875,7881,7875,7851,7852,7859,7854,7874,7923,7909,7882,7835,7792,7780,7761,7736,7733,7717,7686,7671,7698,7738,7710,7743,7725,7691,7635,7541,7485,7439,7396,7337,7281,7231,7188,7118,7057,7024,6959,6906,6878,6808,6750,6734,6730,6675,6631,6604,6571,6521,6508,6466,6420,6374
"03.08.2020",6360,6296,6357,6424,6385,6348,6321,6285,6257,6229,6221,6214,6213,6192,6207,6222,6181,6158,6155,6119,6093,6093,6079,6075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6068,6058,6012,6010,6012,5975,5961,5985,6163,6208,6190,6178,6150,6152,6180,6259,6267,6285,6279,6288,6314,6326,6323,6345,6340,6359,6384,6396,6399,6436,6478,6513,6566,6576,6591,6609,6616,6654,6728,6813,6830,6873,6897,6889,7013,7037,7009,7049,7068,6994,6802,6790,6788,6781,6733,6663,6537,6379,6265,6150,6012,5775,5616,5470,5353,5172,4937,4863,4790,4568,4373,4189,4022,3816,3657,3493,3393,3181,3040,2985,2882,2811,2758,2748,2665,2567,2447,2356,2335,2347,2387,2351,2367,2338,2345,2298,2283,2255,2290,2299,2327,2344,2403,2380,2374,2346,2324,2326,2292,2287,2347,2265,2243,2332,2299,2315,2402,2416,2470,2511,2547,2520,2458,2403,2320,2319,2325,2315,2217,2225,2249,2256,2260,2217,2182,2223,2213,2140,2199,2190,2172,2283,2364,2432,2410,2511,2526,2507,2512,2505,2547,2595,2629,2594,2632,2687,2762,3027,3211,3105,3115,3181,3212,3194,3127,3158,3280,3415,3578,3687,3573,3824,4026,4183,4243,4460,4648,4927,5229,5527,5790,5920,6131,6341,6518,6750,6840,6865,7021,7190,7310,7412,7504,7584,7681,7824,7867,7891,7902,7960,8002,7914,7920,8002,8089,8047,8110,8111,8058,8042,8049,8062,8008,7981,7978,7935,7883,7842,7884,7899,7862,7836,7814,7784,7790,7754,7716,7672,7615,7573,7464,7438,7433,7398,7406,7373,7340,7303,7256,7208,7168,7134,7108,7029,6999,6925,6792,6784,6769,6735,6696,6702
"03.09.2020",6705,6708,6911,6887,6887,6840,6814,6764,6723,6707,6673,6653,6601,6595,6589,6568,6496,6480,6469,6462,6446,6462,6480,6494,6467,6455,6444,6453,6443,6437,6414,6415,6406,6384,6363,6359,6363,6377,6389,6372,6362,6378,6402,6392,6383,6407,6413,6423,6439,6470,6540,6596,6638,6722,6780,6762,6793,6848,6883,6905,6944,6998,6945,6970,7047,7061,7119,7172,7299,7440,7460,7435,7451,7483,7601,7744,7819,7943,7986,8005,8076,8159,8261,8344,8469,8528,8573,8584,8593,8585,8542,8519,8484,8396,8308,8158,8052,8045,7962,7760,7586,7417,7256,7196,6999,6843,6709,6834,6751,6734,6524,6371,6260,6286,6166,6037,5875,5848,5735,5558,5497,5422,5284,5234,5308,5329,5294,5140,4991,4982,4875,4908,4904,4868,4845,4803,4910,4810,4797,4787,4644,4559,4618,4556,4481,4457,4418,4312,4271,4148,4071,4102,4108,4145,4072,4219,4475,4510,4445,4513,4524,4512,4576,4545,4622,4658,4573,4657,4772,4685,4682,4702,4740,4884,4917,5054,5039,5173,5286,5397,5530,5671,5726,5786,5805,5815,5900,5906,5903,5883,6053,6228,6262,6316,6407,6432,6581,6507,6671,6677,6861,6875,6979,7146,7163,7281,7225,7342,7439,7547,7655,7753,7835,7910,8002,8141,8375,8466,8458,8410,8466,8513,8592,8677,8719,8788,8864,8906,8954,9010,9078,9157,9289,9361,9419,9426,9489,9476,9463,9437,9389,9281,9248,9201,9173,9187,9173,9187,9179,9101,9075,9019,8958,8935,8957,8900,8805,8701,8647,8616,8557,8488,8454,8408,8347,8308,8389,8356,8244,8182,8117,8030,7922,7779,7693,7663,7630,7575,7513,7464,7419,7368,7327,7268,7198,7087,7027,6981
"03.10.2020",6952,6916,6899,6854,6778,6816,6822,6800,6771,6691,6651,6675,6669,6640,6602,6606,6591,6598,6564,6556,6511,6493,6488,6486,6477,6457,6440,6385,6361,6353,6334,6334,6340,6363,6361,6329,6319,6373,6370,6369,6341,6336,6343,6340,6337,6320,6302,6258,6254,6276,6322,6370,6409,6448,6524,6500,6480,6499,6512,6486,6502,6557,6654,6758,6829,6926,6947,6968,7048,7032,7009,7053,7147,7238,7544,7648,7678,7790,7876,7952,8046,8086,8136,8192,8268,8287,8296,8363,8448,8465,8495,8460,8423,8369,8315,8259,8257,8185,8202,8158,8092,7979,7943,7843,7795,7680,7625,7632,7594,7540,7486,7442,7430,7434,7363,7235,7075,6919,6941,6936,6928,6806,6789,6709,6647,6643,6523,6488,6425,6465,6382,6337,6319,6284,6191,6112,6033,5911,5855,5884,5911,5996,5977,5911,5977,5942,6120,6065,5943,5906,5940,6043,6078,6161,6274,6343,6178,6225,6348,6339,6270,6312,6287,6328,6449,6476,6488,6469,6628,6555,6597,6677,6638,6310,6235,6327,6484,6452,6374,6548,6644,6691,6755,6768,6814,6910,6976,6987,6997,7096,7027,7038,7062,7036,6942,6986,6936,7045,7157,7186,7270,7295,7322,7311,7336,7439,7465,7508,7585,7705,7803,7870,7953,8113,8216,8297,8353,8371,8272,8232,8243,8371,8456,8558,8678,8790,8856,8918,8960,8921,9025,8988,8954,8993,9084,9209,9288,9259,9267,9299,9299,9249,9221,9195,9168,9136,9087,9065,9042,9000,8978,8960,8924,8830,8835,8847,8795,8770,8703,8664,8598,8552,8488,8462,8426,8386,8396,8379,8322,8282,8234,8183,8024,7887,7863,7772,7649,7639,7629,7566,7492,7461,7421,7356,7278,7259,7252,7182
