"ZIPCODE","MONTH","YEAR","CUSTOMERCLASS","COMBINED","TOTALCUSTOMERS","TOTALKWH","AVERAGEKWH"
"93101",2,2019,"Elec- Commercial","Y",0,0,NA
"93105",1,2019,"Elec- Commercial","Y",0,0,NA
"93105",3,2019,"Elec- Commercial","Y",0,0,NA
"93110",2,2019,"Elec- Commercial","Y",0,0,NA
"93117",1,2019,"Elec- Commercial","Y",0,0,NA
"93117",3,2019,"Elec- Commercial","Y",0,0,NA
"93203",2,2019,"Elec- Commercial","N",364,2343693,6439
"93204",1,2019,"Elec- Commercial","Y",0,0,NA
"93204",3,2019,"Elec- Commercial","Y",0,0,NA
"93206",2,2019,"Elec- Commercial","Y",0,0,NA
"93210",1,2019,"Elec- Commercial","Y",961,7548700,7855
"93210",3,2019,"Elec- Commercial","Y",960,7165769,7464
"93212",2,2019,"Elec- Commercial","Y",0,0,NA
"93219",1,2019,"Elec- Commercial","Y",0,0,NA
"93219",3,2019,"Elec- Commercial","Y",0,0,NA
"93224",2,2019,"Elec- Commercial","Y",0,0,NA
"93225",1,2019,"Elec- Commercial","Y",0,0,NA
"93225",3,2019,"Elec- Commercial","Y",0,0,NA
"93230",2,2019,"Elec- Commercial","Y",0,0,NA
"93234",1,2019,"Elec- Commercial","Y",0,0,NA
"93234",3,2019,"Elec- Commercial","Y",0,0,NA
"93239",2,2019,"Elec- Commercial","Y",0,0,NA
"93241",1,2019,"Elec- Commercial","Y",0,0,NA
"93241",3,2019,"Elec- Commercial","Y",0,0,NA
"93242",2,2019,"Elec- Commercial","Y",0,0,NA
"93243",1,2019,"Elec- Commercial","Y",86,1714826,19940
"93243",3,2019,"Elec- Commercial","Y",0,0,NA
"93245",2,2019,"Elec- Commercial","Y",1387,5719394,4124
"93249",1,2019,"Elec- Commercial","Y",0,0,NA
"93249",3,2019,"Elec- Commercial","Y",0,0,NA
"93250",2,2019,"Elec- Commercial","Y",0,0,NA
"93251",1,2019,"Elec- Commercial","Y",0,0,NA
"93251",3,2019,"Elec- Commercial","Y",0,0,NA
"93252",2,2019,"Elec- Commercial","Y",0,0,NA
"93254",1,2019,"Elec- Commercial","Y",0,0,NA
"93254",3,2019,"Elec- Commercial","Y",0,0,NA
"93256",2,2019,"Elec- Commercial","Y",0,0,NA
"93262",1,2019,"Elec- Commercial","Y",0,0,NA
"93262",3,2019,"Elec- Commercial","Y",0,0,NA
"93263",2,2019,"Elec- Commercial","Y",1338,6766192,5057
"93266",1,2019,"Elec- Commercial","Y",0,0,NA
"93266",3,2019,"Elec- Commercial","Y",0,0,NA
"93268",2,2019,"Elec- Commercial","Y",510,5057588,9917
"93272",1,2019,"Elec- Commercial","Y",0,0,NA
"93272",3,2019,"Elec- Commercial","Y",0,0,NA
"93274",2,2019,"Elec- Commercial","Y",0,0,NA
"93276",1,2019,"Elec- Commercial","Y",0,0,NA
"93276",3,2019,"Elec- Commercial","Y",0,0,NA
"93277",2,2019,"Elec- Commercial","Y",0,0,NA
"93280",1,2019,"Elec- Commercial","N",479,2819812,5887
"93280",3,2019,"Elec- Commercial","Y",0,0,NA
"93286",2,2019,"Elec- Commercial","Y",0,0,NA
"93291",1,2019,"Elec- Commercial","Y",0,0,NA
"93291",3,2019,"Elec- Commercial","Y",0,0,NA
"93292",2,2019,"Elec- Commercial","Y",0,0,NA
"93301",1,2019,"Elec- Commercial","N",1678,10895188,6493
"93301",3,2019,"Elec- Commercial","N",1686,10521396,6240
"93304",2,2019,"Elec- Commercial","N",1034,7409481,7166
"93305",1,2019,"Elec- Commercial","N",807,3844567,4764
"93305",3,2019,"Elec- Commercial","N",803,3590035,4471
"93306",2,2019,"Elec- Commercial","N",664,5291055,7968
"93307",1,2019,"Elec- Commercial","Y",1726,13286774,7698
"93307",3,2019,"Elec- Commercial","Y",1723,11716992,6800
"93308",2,2019,"Elec- Commercial","N",2210,17034975,7708
"93309",1,2019,"Elec- Commercial","N",1340,11601534,8658
"93309",3,2019,"Elec- Commercial","N",1339,10796750,8063
"93311",2,2019,"Elec- Commercial","Y",544,6738284,12387
"93312",1,2019,"Elec- Commercial","N",818,6457308,7894
"93312",3,2019,"Elec- Commercial","N",824,6201465,7526
"93313",2,2019,"Elec- Commercial","N",1061,7097541,6689
"93314",1,2019,"Elec- Commercial","N",342,1705037,4985
"93314",3,2019,"Elec- Commercial","Y",0,0,NA
"93401",2,2019,"Elec- Commercial","N",2522,12269480,4865
"93402",1,2019,"Elec- Commercial","Y",0,0,NA
"93402",3,2019,"Elec- Commercial","Y",0,0,NA
"93405",2,2019,"Elec- Commercial","Y",781,4941575,6327
"93407",1,2019,"Elec- Commercial","Y",0,0,NA
"93407",3,2019,"Elec- Commercial","Y",0,0,NA
"93420",2,2019,"Elec- Commercial","N",1109,3312293,2987
"93422",1,2019,"Elec- Commercial","Y",1739,5794889,3332
"93422",3,2019,"Elec- Commercial","Y",1738,5629906,3239
"93426",2,2019,"Elec- Commercial","Y",0,0,NA
"93427",1,2019,"Elec- Commercial","Y",0,0,NA
"93427",3,2019,"Elec- Commercial","Y",0,0,NA
"93428",2,2019,"Elec- Commercial","Y",516,1191400,2309
"93429",1,2019,"Elec- Commercial","Y",0,0,NA
"93429",3,2019,"Elec- Commercial","Y",0,0,NA
"93430",2,2019,"Elec- Commercial","Y",0,0,NA
"93432",1,2019,"Elec- Commercial","Y",0,0,NA
"93432",3,2019,"Elec- Commercial","Y",0,0,NA
"93433",2,2019,"Elec- Commercial","Y",760,2008764,2643
"93434",1,2019,"Elec- Commercial","Y",0,0,NA
"93434",3,2019,"Elec- Commercial","Y",0,0,NA
"93435",2,2019,"Elec- Commercial","Y",0,0,NA
"93436",1,2019,"Elec- Commercial","Y",0,0,NA
"93436",3,2019,"Elec- Commercial","Y",0,0,NA
"93437",2,2019,"Elec- Commercial","Y",0,0,NA
"93440",2,2019,"Elec- Commercial","N",96,287620,2996
"93441",1,2019,"Elec- Commercial","Y",0,0,NA
