,COUNTY,MONTH,CUSTOMERCLASS,2019,2019 COSTS,2020,2020 COSTS,DIFF_COSTS,DIFF_KWH
1,Alameda,1,Elec- Commercial,362660984,0.136,378385385,0.141,4030445.461,15724401
10,Contra Costa,1,Elec- Commercial,150453419,0.136,148435407,0.141,467727.403,-2018012
19,Marin,1,Elec- Commercial,44865544,0.136,44606018,0.141,187734.554,-259526
28,Napa,1,Elec- Commercial,38140904,0.136,37731360,0.141,132958.816,-409544
37,San Francisco,1,Elec- Commercial,194216742,0.136,203980292,0.141,2347744.26,9763550
46,San Mateo,1,Elec- Commercial,166759206,0.136,170913191,0.141,1419507.915,4153985
55,Santa Clara,1,Elec- Commercial,380654126,0.136,376944249,0.141,1380177.973,-3709877
64,Solano,1,Elec- Commercial,66229928,0.136,64776565,0.141,126225.457,-1453363
73,Sonoma,1,Elec- Commercial,94717844,0.136,92703759,0.141,189603.235,-2014085
2,Alameda,1,Elec- Industrial,0,0.103,0,0.109,0,0
11,Contra Costa,1,Elec- Industrial,0,0.103,0,0.109,0,0
20,Marin,1,Elec- Industrial,0,0.103,0,0.109,0,0
29,Napa,1,Elec- Industrial,0,0.103,0,0.109,0,0
38,San Francisco,1,Elec- Industrial,568035741,0.103,0,0.109,-58507681.32,-568035741
47,San Mateo,1,Elec- Industrial,0,0.103,0,0.109,0,0
56,Santa Clara,1,Elec- Industrial,322279312,0.103,863168284,0.109,60890573.82,540888972
65,Solano,1,Elec- Industrial,0,0.103,0,0.109,0,0
74,Sonoma,1,Elec- Industrial,0,0.103,0,0.109,0,0
3,Alameda,1,Elec- Residential,251563467,0.168,258691525,0.183,5077886.619,7128058
12,Contra Costa,1,Elec- Residential,217224587,0.168,217685947,0.183,3342797.685,461360
21,Marin,1,Elec- Residential,56915682,0.168,56344640,0.183,749234.544,-571042
30,Napa,1,Elec- Residential,29872829,0.168,29994885,0.183,470428.683,122056
39,San Francisco,1,Elec- Residential,123826375,0.168,127964423,0.183,2614658.409,4138048
48,San Mateo,1,Elec- Residential,134756199,0.168,137017684,0.183,2435194.74,2261485
57,Santa Clara,1,Elec- Residential,292238026,0.168,298219459,0.183,5478172.629,5981433
66,Solano,1,Elec- Residential,79719672,0.168,79714403,0.183,1194830.853,-5269
75,Sonoma,1,Elec- Residential,101695663,0.168,102412103,0.183,1656543.465,716440
4,Alameda,2,Elec- Commercial,327715551,0.139,349834610,0.146,5523391.471,22119059
13,Contra Costa,2,Elec- Commercial,136023349,0.139,133599370,0.146,598262.509,-2423979
22,Marin,2,Elec- Commercial,41684339,0.139,40115038,0.146,62672.427,-1569301
31,Napa,2,Elec- Commercial,34914086,0.139,34150150,0.146,132863.946,-763936
40,San Francisco,2,Elec- Commercial,177462642,0.139,190152352,0.146,3094936.154,12689710
49,San Mateo,2,Elec- Commercial,151996085,0.139,159221297,0.146,2118853.547,7225212
58,Santa Clara,2,Elec- Commercial,342295940,0.139,333960291,0.146,1179066.826,-8335649
67,Solano,2,Elec- Commercial,60181971,0.139,57646547,0.146,51101.893,-2535424
76,Sonoma,2,Elec- Commercial,85609668,0.139,83884192,0.146,347348.18,-1725476
5,Alameda,2,Elec- Industrial,0,0.106,25452727,0.11,2799799.97,25452727
14,Contra Costa,2,Elec- Industrial,0,0.106,0,0.11,0,0
