"ZIPCODE","MONTH","YEAR","CUSTOMERCLASS","COMBINED","TOTALCUSTOMERS","TOTALTHM","AVERAGETHM"
"92304",2,2019,"Gas- Commercial","Y",0,0,NA
"92365",1,2019,"Gas- Commercial","Y",0,0,NA
"92365",3,2019,"Gas- Commercial","Y",0,0,NA
"93203",2,2019,"Gas- Commercial","Y",0,0,NA
"93204",1,2019,"Gas- Commercial","Y",0,0,NA
"93204",3,2019,"Gas- Commercial","Y",0,0,NA
"93210",2,2019,"Gas- Commercial","Y",0,0,NA
"93224",1,2019,"Gas- Commercial","Y",0,0,NA
"93224",3,2019,"Gas- Commercial","Y",0,0,NA
"93234",2,2019,"Gas- Commercial","Y",0,0,NA
"93239",1,2019,"Gas- Commercial","Y",0,0,NA
"93239",3,2019,"Gas- Commercial","Y",0,0,NA
"93252",2,2019,"Gas- Commercial","Y",0,0,NA
"93263",1,2019,"Gas- Commercial","Y",0,0,NA
"93263",3,2019,"Gas- Commercial","Y",0,0,NA
"93268",2,2019,"Gas- Commercial","Y",0,0,NA
"93280",2,2019,"Gas- Commercial","Y",0,0,NA
"93301",1,2019,"Gas- Commercial","Y",5061,1986187,392
"93301",3,2019,"Gas- Commercial","N",1154,201107,174
"93304",2,2019,"Gas- Commercial","Y",0,0,NA
"93305",1,2019,"Gas- Commercial","Y",0,0,NA
"93305",3,2019,"Gas- Commercial","N",496,98800,199
"93306",2,2019,"Gas- Commercial","N",362,176103,486
"93307",1,2019,"Gas- Commercial","Y",0,0,NA
"93307",3,2019,"Gas- Commercial","Y",665,205554,309
"93308",2,2019,"Gas- Commercial","N",491,165588,337
"93309",1,2019,"Gas- Commercial","Y",0,0,NA
"93309",3,2019,"Gas- Commercial","N",386,95644,248
"93311",2,2019,"Gas- Commercial","Y",0,0,NA
"93313",1,2019,"Gas- Commercial","Y",0,0,NA
"93313",3,2019,"Gas- Commercial","Y",894,276957,310
"93314",2,2019,"Gas- Commercial","Y",0,0,NA
"93432",1,2019,"Gas- Commercial","Y",0,0,NA
"93432",3,2019,"Gas- Commercial","Y",0,0,NA
"93446",2,2019,"Gas- Commercial","Y",0,0,NA
"93450",1,2019,"Gas- Commercial","Y",0,0,NA
"93450",3,2019,"Gas- Commercial","Y",0,0,NA
"93461",2,2019,"Gas- Commercial","Y",0,0,NA
"93516",1,2019,"Gas- Commercial","Y",0,0,NA
"93516",3,2019,"Gas- Commercial","Y",0,0,NA
"93523",2,2019,"Gas- Commercial","Y",0,0,NA
"93555",1,2019,"Gas- Commercial","Y",627,215403,344
"93555",3,2019,"Gas- Commercial","Y",634,167059,264
"93561",2,2019,"Gas- Commercial","Y",0,0,NA
"93562",1,2019,"Gas- Commercial","Y",0,0,NA
"93562",3,2019,"Gas- Commercial","Y",0,0,NA
"93608",2,2019,"Gas- Commercial","Y",0,0,NA
"93610",1,2019,"Gas- Commercial","Y",0,0,NA
"93610",3,2019,"Gas- Commercial","Y",0,0,NA
"93611",2,2019,"Gas- Commercial","Y",0,0,NA
"93612",1,2019,"Gas- Commercial","Y",0,0,NA
"93612",3,2019,"Gas- Commercial","Y",0,0,NA
"93616",2,2019,"Gas- Commercial","Y",0,0,NA
"93619",1,2019,"Gas- Commercial","Y",0,0,NA
"93619",3,2019,"Gas- Commercial","Y",0,0,NA
"93620",2,2019,"Gas- Commercial","Y",0,0,NA
"93622",1,2019,"Gas- Commercial","Y",0,0,NA
"93622",3,2019,"Gas- Commercial","Y",0,0,NA
"93625",2,2019,"Gas- Commercial","Y",0,0,NA
"93627",1,2019,"Gas- Commercial","Y",0,0,NA
"93627",3,2019,"Gas- Commercial","Y",0,0,NA
"93630",2,2019,"Gas- Commercial","Y",0,0,NA
"93631",1,2019,"Gas- Commercial","Y",0,0,NA
"93631",3,2019,"Gas- Commercial","Y",0,0,NA
"93635",2,2019,"Gas- Commercial","Y",0,0,NA
"93636",1,2019,"Gas- Commercial","Y",0,0,NA
"93636",3,2019,"Gas- Commercial","Y",0,0,NA
"93637",2,2019,"Gas- Commercial","Y",0,0,NA
"93638",1,2019,"Gas- Commercial","Y",0,0,NA
"93638",3,2019,"Gas- Commercial","Y",0,0,NA
"93640",2,2019,"Gas- Commercial","Y",0,0,NA
"93650",1,2019,"Gas- Commercial","N",131,37990,290
